자치구,정류장수,노선수,승차총승객수,하차총승객수,승차평균승객수,하차평균승객수
강남구,502,"['740' '2412' '440' '441' '542' '9409' '9401-1' '9408' '9711' '9401'
 '9404' 'N37' '4425' '341' '8541' '241' '4318' '강남10' '2413' '342' '470'
 '3217' '143' '3411' '3412' '3413' '4211' '242' '3414' '3426' '4435'
 '3416' '452' '3417' '8441' '3422' '741' '4212' '4312' '144' 'N64' 'N31'
 '145' '8641' '강남03' '강남07' '강남05' '강남06' '강남01' '강남02' '6411' '301' '340'
 '146' '360' '147' '서초20' '서초21' '400' '서초03' '서초08' '서초09' '140' '401'
 '402' '강남06-1' '강남08' '421' '강남06-2' '405' '송파02' '4319' '송파03' '406'
 '서초18' '서초18-1' '3011' '141' '343' '420' '345' '361' '3420' '333' '461'
 '350' '472' 'N13' '4432' '4433' '8146' '148' '2416' 'N61' '2415' '463'
 '142' '240' '040']",9113021,8640353,135.1639079232298,128.1533179081012
강동구,376,"['강동02' '341' '2312' '370' '342' '3212' '3411' '3321' '3412' '3413' 'N31'
 '강동01' '강동05' '130' '340' '3318' '8332' '3319' 'N30' '3323' '3214' '3316'
 '3220' '3324']",3306588,3242901,94.63888491370675,92.81607945276052
강북구,410,"['5626' '5623' '5531' '5530' '107' '111' '8101' '102' 'N15' '노원14' '노원15'
 '121' '172' '144' 'N51' '145' '104' '130' '성북10' '강북02' '강북01' '강북11'
 '109' '강북10' '강북03' '강북05' '강북06' '강북12' '강북09' '101' '도봉02' '도봉03'
 '도봉04' '도봉05' '140' '147' '1111' '1113' '1115' '1119' '1120' '1124' '150'
 '1126' '1128' '710' '100' '141' '1133' '성북14-1' '1137' '1116' '1167'
 '151' '1138' '1112' '1144' '1218' '152' '106' '142' 'N16' '1127' '강북08'
 '148' '1165' '163' '160' '103' '120' '강북04']",5244436,5077041,138.24430619991566,133.83174293547026
강서구,565,"['673' '서울04퇴근' '서울02퇴근' 'N26' '서울02출근' '서울04출근' '661' '8762' '강서05' '654'
 '602' '강서05-1' '674' '604' '605' '606' '650' '651' 'N64' '5616' '5712'
 '강서07' '강서01' '강서02' '강서03' '강서04' '강서06' '6514' '6620' '6623' '6627'
 '6628' '6629' '6630' '6631' '6632' '6712' '6714' '6715' '6648' '672'
 '660' '653' '6633' '6645' '6642' '6647' '662' '6625' '6716' 'N62' '601'
 '652' '6657']",5244615,5218001,93.10683662056844,92.63436240657565
관악구,465,"['5713' '5627' '5625' '5623' '5536' '5535' '5531' '5530' '5413' '750B'
 '505' '504' '500' '6515' '441' '507' '5633' '540' '8541' '8561' '5522B'
 'N15' '5523' '4318' '8551' '6516' '8552' '641' '4212' '5634' '650' 'N51'
 '5511' '5513' '651' '5516' '5517' 'N75' '5519' '5524' '5525' '5528'
 '5615' '5616' '5617' '5620' '5621' '6511' '750A' '6512' '관악01' '관악10'
 '관악02' '관악03' '관악04' '6514' '관악05' '관악06' '관악07' '관악08' '금천03' '643'
 '5515' '동작20' '동작13' '동작05' '동작06' '동작14' '동작05-1' '관악11' '150' '4319'
 '502' '461' '506' '501' '152' 'N61' '금천06' '금천07' '5522A' '8442']",7691243,7850254,147.777792721823,150.83299389002036
광진구,278,"['2227' '303' '302' '2412' '9409' '422' '4425' '721' '2311' '370' '3212'
 '3217' '242' '452' '4212' '130' 'N73' '146' '강동01' '광진02' '광진03' '광진04'
 '광진05' '성동10' '광진01' '2016' '2224' '8146' '2012' 'N30' 'N61' '2416'
 '3214' '2014' '3220' '2415' '2221' '3216' 'N62' '320' '240' '2211' '2222']",3207725,3228754,118.75624745474066,119.5347821258006
구로구,478,"['6638' '6637' '6616' '5714' '5713' '5630' '5626' '5625' '5623' '5536'
 '5535' '5531' '505' '504' '503' '6515' '6713' '8661' '507' '5633' '654'
 '6615' '6516' '5634' '5012' 'N51' '651' '5528' '5615' '5616' '5618'
 '5619' '5611' '5620' '8641' '5712' '6411' '6511' '6512' '구로10' '구로05'
 '구로07' '구로08' '구로09' '구로12' '구로01' '구로02' '구로03' '구로04' '구로13' '금천03'
 '643' '영등포04' '영등포01' '150' '영등포09' '양천04' '영등포12' '영등포13' '구로15' '영등포08'
 '구로06' '구로11' '660' '653' '6633' '662' '6613' '6614' 'N16' 'N61' '571'
 '600' '6716' '160' '금천06' '금천07' '6640A' '6640B' '652' '구로14']",5525646,5324566,125.11935330480266,120.5662205918982
금천구,344,"['5714' '5713' '5630' '5627' '5626' '5625' '5623' '5536' '5535' '5531'
 '5530' '5413' '505' '504' '503' '500' '6515' '507' '5633' '8541' '5537'
 '6516' '5634' '5012' 'N51' '651' '5517' '5525' '5528' '5615' '5616'
 '5617' '5618' '5619' '5611' '5620' '5621' '5712' '6512' '금천02' '금천03'
 '금천04' '643' '150' '금천01' '금천11' '구로11' '653' '152' '금천08' 'N61' '571'
 '금천05' '금천06' '금천07' '652']",3990114,3839246,129.95420792079207,125.04058103178738
노원구,495,"['1155' '서울09퇴근' '8112' '2212' '111' '서울09출근' '661' '100' '노원14' '노원15'
 '173' '102' '606' '172' 'N51' '261' '146' '1139' '노원01' '노원11' '노원02'
 '노원03' '노원05' '노원08' '노원09' '도봉09' '1017' '147' '성북12' '1120' '105'
 '1122' '1129' '1130' '노원13' '1132' '성북14-1' '1133' '1135' '1136' '1137'
 '1167' '1138' '1140' '1144' '1154' '2113' '2114' '1131' '1221' '1141'
 '1142' '1222' 'N13' '1143' '1224' '8146' 'N61' '202' '103' '1227']",4609496,4535591,88.73630308397182,87.31357563623763
도봉구,366,"['5713' '5626' '5625' '107' '서울10퇴근' '서울05퇴근' '441' '서울05출근' '서울10출근'
 '540' '8101' 'N15' '노원14' '노원15' '102' '144' '130' '109' '146' '강북05'
 '1139' '노원05' '노원08' '도봉08' '도봉09' '도봉01' '도봉02' '도봉03' '도봉04' '도봉05'
 '도봉06' '도봉07' '140' '147' '1119' '101' '1120' '1126' '150' '1128' '1129'
 '141' '1133' '502' '1167' '1138' '1144' '151' '1142' '1127' 'N16' '8146'
 '106' '142' '163' '160' '120']",3575712,3493061,110.5799109351806,108.02390524492826
