feature,mean_importance
면적38_46,-0.004672254403707876
면적46_51,-0.004408421277946106
면적26_38,-0.0006987405867993291
면적51_59,-5.9924766164554113e-05
면적127_139,1.1102230246251566e-17
면적85_127,3.3306690738754695e-17
면적17_26,5.5738304581653966e-05
승강기설치여부,0.0001653717911309749
건물형태,0.0023920024898347993
준공연도,0.006713062805618053
난방방식,0.010184248001608377
면적59_74,0.013726776445963772
총세대수,0.017522612381934245
임대료,0.019991233241723038
임대보증금,0.035392736213609964
면적74_85,0.05927436903047465
총면적,0.7639846168730939
