feature,mean_importance
면적17_26_sum_총면적,-0.009609171251624471
면적38_46,-0.0022367071219680955
총면적_diff_면적127_139,0.0
면적59_74_sum_총면적,0.0
승강기설치여부,0.0
면적74_85_sum_총면적,0.0
면적17_26,0.0
면적85_127_sum_총면적,0.0
총면적_diff_면적51_59,0.00295217272005891
임대보증금_multiply_총면적,0.005052750343291413
임대보증금,0.005839731607233311
준공연도,0.014002923027530567
임대료,0.01551797828265129
준공연도_ratio_총면적,0.03418391748463143
난방방식,0.03643142700656821
면적59_74,0.03692926770368728
총면적,0.04573568425212586
준공연도_diff_총면적,0.06224762138990161
총세대수,0.08061658700353411
면적74_85,0.10331542207630955
임대보증금_multiply_총세대수,0.18136444995188344
