feature,mean_importance
면적51_59,-0.007815607281357962
면적26_38,-0.005736998362961776
면적38_46,-0.0027630633854549337
임대료,-0.0016930494922218209
면적46_51,-0.0014942056593791665
면적17_26,-0.0011753043709326616
면적85_127,0.0
면적127_139,6.110947693620528e-05
건물형태,0.004865840478663719
난방방식,0.005240295950426776
승강기설치여부,0.0074301257363902475
random_feature,0.011110762088298854
임대보증금,0.011555893565736264
준공연도,0.015183190700357263
면적59_74,0.01970245258200305
총세대수,0.0469388273887527
면적74_85,0.06592318513025572
총면적,0.4475283220435714
