feature,mean_importance
임대료,-0.003838071099289092
면적74_85_sum_총면적,-0.003210312336057758
면적85_127_sum_총면적,-0.0013953885520970656
면적51_59,-0.0013568498858255174
난방방식,-0.0008912245256325557
면적46_51,-0.0007589764784114217
총면적_sum_총세대수,-0.0006419559483303305
면적85_127,0.0
총면적_diff_면적85_127,0.0
총면적_diff_면적127_139,0.0
면적38_46_sum_총면적,0.0
면적127_139,0.0
면적59_74_sum_총면적,0.0
총면적_diff_면적59_74,0.0
면적17_26,0.0
승강기설치여부,0.0
면적38_46,3.781679525715065e-05
총세대수,0.00034098353482069353
면적26_38,0.00042902381525631304
면적74_85,0.0007289015126715814
면적46_51_sum_총면적,0.001273803228353232
면적59_74,0.002466509980833631
준공연도,0.007155854605533768
임대보증금,0.008599190054873324
건물형태,0.014882543254092762
총면적,0.2980098491405099
임대보증금_multiply_총세대수,0.48520192123070416
