feature,mean_importance
면적46_51_sum_총면적,-0.008675288955848848
면적85_127_sum_총면적,-0.003266964760976454
총세대수,-0.0019163007863461368
면적26_38,-0.00040853547377383
면적38_46,-0.00034247248985881386
총면적_diff_면적85_127,0.0
총면적_diff_면적127_139,0.0
면적127_139,0.0
면적59_74_sum_총면적,0.0
면적85_127,0.0
승강기설치여부,0.0
면적17_26,0.0
총면적_diff_면적59_74,0.0
면적74_85_sum_총면적,0.00039207453387100075
면적46_51,0.0016770765180287085
면적51_59,0.003348209684768633
총면적_sum_총세대수,0.005613370976674392
면적59_74,0.011875788401693033
임대보증금,0.012987731366171595
면적74_85,0.013758525761629137
난방방식,0.01871094918280245
임대료,0.020193831192207058
준공연도,0.021282346501833006
총면적,0.04098369819330806
건물형태,0.04949933024546489
면적38_46_sum_총면적,0.04957216827385306
임대보증금_multiply_총세대수,0.06216549574801167
