feature,mean_importance
면적59_74_sum_총면적,-0.0011393053922484242
면적46_51_sum_총면적,-0.0010974573974874724
면적46_51,-0.0008095040869248671
총세대수,-0.00026594850544256476
면적127_139,0.0
면적85_127,0.0
승강기설치여부,0.0
면적26_38,9.080852963487262e-05
임대료,9.955849912571813e-05
면적74_85,0.0002654269501522366
면적51_59,0.0004582000823342591
면적17_26,0.0005264268733061294
면적38_46,0.0007730875772512025
건물형태,0.001061081597035507
면적59_74,0.0011122492585173616
총면적,0.002716873131088521
난방방식,0.003319764590299745
총면적_diff_면적85_127,0.006118747874624747
임대보증금,0.007682079769897337
총면적_diff_면적59_74,0.008754271965926569
면적38_46_sum_총면적,0.014438541785028203
면적85_127_sum_총면적,0.020596871778314742
준공연도,0.023580214348700574
총면적_sum_총세대수,0.0237555317238142
총면적_diff_면적127_139,0.031307893465302314
임대보증금_multiply_총세대수,0.036670860413431795
면적74_85_sum_총면적,0.04049022902166238
