feature,mean_importance
난방방식,-0.022745856676068765
임대료,-0.022005363955061353
승강기설치여부,-0.012726819343863544
총면적,-0.012658327109170637
건물형태,-0.009294274087775316
면적46_51,-0.006916791410604866
면적85_127,-0.0030809223896383743
면적17_26,0.0035655028635217523
면적59_74,0.005980135614835047
면적26_38,0.019524091836225145
총세대수,0.029973392718357406
임대보증금,0.03153346323539501
면적38_46,0.04222726138146521
준공연도,0.10803298458497859
면적127_139,0.1244380644067872
면적51_59,0.17918147829020972
면적74_85,0.20697399220764362
