feature,mean_importance
면적74_85_sum_총면적,-0.0017537845615967496
임대료,-0.0015391441429657982
면적51_59,-0.001301333886442596
총면적_sum_총세대수,-0.00036242046462801604
난방방식,-0.0002953649222048549
면적85_127_sum_총면적,0.0
면적127_139,0.0
총면적_diff_면적59_74,0.0
총면적_diff_면적127_139,0.0
면적85_127,0.0
면적17_26,0.0
총면적_diff_면적85_127,0.0
승강기설치여부,0.0
면적59_74_sum_총면적,0.0
면적38_46_sum_총면적,0.0
면적38_46,0.00010508179858736421
면적46_51,0.000184903180293855
면적26_38,0.0008150782396407263
면적74_85,0.000816469540888537
총세대수,0.000860691705418537
면적59_74,0.0017659831740771958
random_feature,0.0028565524195538873
임대보증금,0.005006398338189921
면적46_51_sum_총면적,0.005463956125668129
준공연도,0.01096962606626321
건물형태,0.014641219736263106
총면적,0.28398362517586967
임대보증금_multiply_총세대수,0.5123016642275057
