feature,mean_importance
면적85_127,-0.0021816501536925216
면적127_139,-0.0005857852004226671
승강기설치여부,-0.00016726421406522695
면적17_26,0.0014816475837398535
면적51_59,0.0049106211792365965
면적26_38,0.006050604545563115
면적59_74,0.00625553788189267
난방방식,0.007489076033493714
건물형태,0.007845699373508108
면적38_46,0.011398887862709184
임대료,0.018098114918032055
면적46_51,0.019471763465017895
면적74_85,0.022419249186018248
준공연도,0.03436830810860793
임대보증금,0.051355176790373006
총세대수,0.0923566044988584
총면적,0.546661577792438
