feature,shap_importance
임대보증금_multiply_총세대수,0.3423270764695352
총면적,0.2336833595252117
면적46_51_sum_총면적,0.054375457091560296
건물형태,0.04394767850225872
임대보증금,0.04173366022721838
준공연도,0.036018859098303956
난방방식,0.02376480204114979
면적59_74,0.022566128499888007
총세대수,0.01958508350841664
임대료,0.008953154046037236
총면적_sum_총세대수,0.0046124145908355944
면적74_85,0.0036774565401687977
면적26_38,0.0032406718577890777
면적51_59,0.0014300208034229807
면적38_46,0.0009915850504276541
면적85_127_sum_총면적,0.0
총면적_diff_면적85_127,0.0
총면적_diff_면적127_139,0.0
면적74_85_sum_총면적,0.0
면적59_74_sum_총면적,0.0
면적85_127,0.0
면적38_46_sum_총면적,0.0
면적127_139,0.0
면적46_51,0.0
면적17_26,0.0
승강기설치여부,0.0
총면적_diff_면적59_74,0.0
