feature,mean_importance
면적26_38,-0.0038328800531979455
면적85_127,-0.00031797216462179924
승강기설치여부,-0.000145627870455306
면적127_139,0.00032420111105097016
면적17_26,0.0005985624891963637
면적51_59,0.0007917469977604507
건물형태,0.0027936378325928435
면적38_46,0.002859915652751138
면적46_51,0.005679091385801233
면적59_74,0.0105869352705289
난방방식,0.010918881785011696
면적74_85,0.024575368300142314
준공연도,0.02607375975946665
임대료,0.03168073200247623
임대보증금,0.06457388244295519
총세대수,0.07382149191673429
총면적,0.6614108528683141
