feature,mean_importance
면적26_38,-0.0015491397669048946
면적46_51,-0.001340087729389533
면적38_46,-0.0007778150132082939
면적85_127,0.0
면적127_139,0.0
승강기설치여부,0.0
면적17_26,0.0
면적51_59,0.0005493392572208378
면적74_85,0.001548892142406244
난방방식,0.0043284082975865446
면적38_46_sum_총면적,0.004761267337419539
총세대수,0.005961289241967626
면적59_74,0.006599305613504469
건물형태,0.007716972214591384
총면적_diff_면적85_127,0.010515858058888172
임대료,0.012457419627674955
면적85_127_sum_총면적,0.01812474032989535
임대보증금,0.01923102892297373
준공연도,0.02366126521755015
총면적_diff_면적59_74,0.02619921893754825
총면적,0.026949609601332962
총면적_sum_총세대수,0.02966311400590497
총면적_diff_면적127_139,0.0355763494601353
면적59_74_sum_총면적,0.03727060576532718
면적74_85_sum_총면적,0.04009500595731894
면적46_51_sum_총면적,0.04731682255263893
임대보증금_multiply_총세대수,0.06943944639576385
