feature,mean_importance
면적38_46,-2.7755575615628914e-17
면적46_51,-2.7755575615628914e-17
면적127_139,-1.1102230246251566e-17
난방방식,-1.1102230246251566e-17
면적85_127,-1.1102230246251566e-17
면적26_38,-1.1102230246251566e-17
승강기설치여부,-5.551115123125783e-18
면적51_59,-5.551115123125783e-18
건물형태,0.0005588520118332274
면적17_26,0.0011576403827969262
임대료,0.0038071747329723794
준공연도,0.004687808292773049
면적59_74,0.008145041595559566
임대보증금,0.00939439560138285
총세대수,0.019788495249724904
면적74_85,0.07730600556189723
총면적,0.9757583372084604
