feature,mean_importance
면적51_59,-0.013692088925148926
면적38_46,-0.0028226874928440893
면적26_38,-0.0005682884519330855
면적85_127,-6.976903543305379e-05
승강기설치여부,-2.4106945746193988e-05
면적127_139,0.00031512557474090984
임대보증금,0.002626025642631985
면적17_26,0.004742190542250846
임대료,0.007203532069332413
건물형태,0.007856746467764925
면적59_74,0.01391218178084339
면적46_51,0.016965372442395387
난방방식,0.026406884561293226
면적74_85,0.027076286243305332
준공연도,0.0407063574901379
총세대수,0.06948362467206053
총면적,0.4487258712202296
