feature,mean_importance
면적59_74,-0.0014552672863146654
면적46_51,-7.76568786852283e-05
면적38_46,-7.50935077507342e-05
면적85_127,2.2204460492503132e-17
승강기설치여부,4.4408920985006264e-17
면적127_139,4.4408920985006264e-17
면적17_26,4.4408920985006264e-17
면적26_38,4.4408920985006264e-17
준공연도,0.0010095865736913568
면적51_59,0.002163181444765272
건물형태,0.0028456695259784894
난방방식,0.009949320466737688
임대료,0.011579146313011967
임대보증금,0.01472338328164834
면적74_85,0.04658762950603852
총세대수,0.0803283880643378
총면적,0.6682400384351921
