feature,mean_importance
건물형태,-0.0022574690999869695
면적85_127,0.0
면적74_85_sum_총면적,0.0
준공연도_diff_총면적,0.0
준공연도_ratio_총면적,0.0
면적127_139,0.0
면적85_127_sum_총면적,0.0
총면적_diff_면적127_139,0.0
면적17_26,0.0
승강기설치여부,0.0
면적46_51,8.120393483153632e-05
면적26_38,0.00020661368221944754
난방방식,0.0004706929004899774
면적38_46,0.0015983536486899597
면적59_74_sum_총면적,0.002620226855897567
면적51_59,0.0036851308784084658
임대료,0.005277728112081143
총세대수,0.005481949778814022
면적59_74,0.006294023222041273
면적74_85,0.008775924421176773
준공연도,0.010720548611179487
임대보증금,0.0113508193409457
면적17_26_sum_총면적,0.011816508526136827
총면적_diff_면적51_59,0.01908413324775631
임대보증금_multiply_총세대수,0.09229636370154597
임대보증금_multiply_총면적,0.09920199630486899
총면적,0.17574878943603128
