feature,mean_importance
건물형태,-0.005345546224910963
면적51_59,-0.004302819282260698
random_feature,-0.0012621598700069236
면적127_139,0.0002771597330201075
면적85_127,0.000392565191623756
승강기설치여부,0.001182594748071819
면적59_74,0.0032555155383790805
임대료,0.003319713206710398
면적17_26,0.004063958865932582
면적46_51,0.004611512974154302
면적26_38,0.0076656228618393
면적38_46,0.008631750471275545
임대보증금,0.020446859882050784
면적74_85,0.02360207503660706
난방방식,0.02366026451338917
준공연도,0.04262697130397726
총세대수,0.08068183479349147
총면적,0.438255911684328
