feature,mean_importance
면적38_46,-0.0012923976135258586
총면적_diff_면적127_139,0.0
승강기설치여부,0.0
면적59_74_sum_총면적,0.0
면적17_26,0.0
준공연도_diff_총면적,0.0
면적85_127_sum_총면적,0.0
준공연도_ratio_총면적,0.0
면적74_85_sum_총면적,0.0020383655010064285
면적59_74,0.002777442604161634
준공연도,0.0031102948270559593
난방방식,0.0036360422273097994
총세대수,0.004165745987240977
임대료,0.007633039182812001
면적17_26_sum_총면적,0.008302223059701736
임대보증금,0.00986394508615176
총면적_diff_면적51_59,0.01583123839400478
면적74_85,0.036716539275781945
임대보증금_multiply_총면적,0.055273128097371546
임대보증금_multiply_총세대수,0.14508457900639762
총면적,0.15869101233407712
