feature,mean_importance
면적59_74,-0.0018957935383307478
면적127_139,1.1102230246251566e-17
면적46_51,2.2204460492503132e-17
면적85_127,3.3306690738754695e-17
면적51_59,3.3306690738754695e-17
면적17_26,4.4408920985006264e-17
면적26_38,4.4408920985006264e-17
승강기설치여부,5.551115123125783e-17
면적38_46,0.0005099543028429631
난방방식,0.0005348132914401171
건물형태,0.0032136156859015274
임대료,0.005470573188422289
준공연도,0.012202923500179296
임대보증금,0.017969722490158446
총세대수,0.04541083408877152
면적74_85,0.060393960322650965
총면적,1.0330354416108696
