feature,mean_importance
면적26_38,-0.0016773821540740197
면적127_139,-0.00021453847137083425
면적85_127,5.714104423382161e-06
승강기설치여부,0.00036494597417954246
면적17_26,0.0018461712757227855
건물형태,0.003297252564856951
면적51_59,0.004518488324906089
면적59_74,0.007742740376587615
임대료,0.010413922602386178
면적38_46,0.011756604785380815
면적46_51,0.017773426972038688
난방방식,0.02954629081392381
면적74_85,0.029789959013136358
임대보증금,0.037811267361236085
준공연도,0.04451324850522377
총세대수,0.08025361278153342
총면적,0.41071553472351524
