feature,mean_importance
면적17_26,-0.03322951214727103
면적38_46,-0.02357721440350028
임대료,-0.01382234582538534
면적59_74,-0.007452867641133609
면적26_38,-0.0060098454052405995
건물형태,-0.0056569952993601015
승강기설치여부,-0.0022522815706277123
난방방식,-0.0012214832856295653
임대보증금,0.0021820460015228083
면적85_127,0.0071272559839123395
면적127_139,0.007141423046729089
준공연도,0.033972614157854554
총세대수,0.04193022673791243
면적51_59,0.07534297599548645
면적74_85,0.08543623617587007
총면적,0.08564442148703269
면적46_51,0.09214901282836721
