feature,mean_importance
임대보증금,-0.011474058013467802
면적17_26_sum_총면적,-0.007936806962624842
난방방식,-0.0033751277463569874
면적38_46,-0.0012771215849836314
준공연도_ratio_총면적,-0.0008791219216673585
면적59_74_sum_총면적,-0.00018511657479306499
총면적_diff_면적127_139,0.0
승강기설치여부,0.0
면적74_85_sum_총면적,0.0
면적17_26,0.0
준공연도_diff_총면적,0.0
면적85_127_sum_총면적,0.0
총면적_diff_면적51_59,0.0
임대료,0.0007682649409883613
총세대수,0.002093744572712608
준공연도,0.0024834632172332618
면적59_74,0.013173132109721153
임대보증금_multiply_총면적,0.029840294893429965
면적74_85,0.045839845374247554
총면적,0.05739831837065738
임대보증금_multiply_총세대수,0.11841786477331857
