feature,mean_importance
면적38_46,-0.009506813094456446
면적51_59,-0.0009097624319517217
면적127_139,0.0
면적85_127,0.0
승강기설치여부,0.00019397900265014645
면적26_38,0.0005360423682229775
면적17_26,0.003551416493505888
면적46_51,0.005823620739657587
건물형태,0.015281574472204695
면적59_74,0.016381363754986455
random_feature,0.018505115579618737
임대료,0.020771144268521113
준공연도,0.02500474164045933
난방방식,0.031053908351655023
임대보증금,0.048072487258852534
면적74_85,0.05931587562609155
총세대수,0.06931573537599775
총면적,0.5955971739233881
