feature,mean_importance
건물형태,-0.011177794667073294
난방방식,-0.0011132144685564644
면적74_85,-0.00029964500408274084
random_feature,-0.0002229363271854218
면적38_46,-8.871916708212968e-05
면적46_51,-6.564439901695363e-05
총면적_sum_총세대수,-3.326817219165279e-06
총면적_diff_면적85_127,0.0
총면적_diff_면적127_139,0.0
면적85_127_sum_총면적,0.0
면적38_46_sum_총면적,0.0
면적127_139,0.0
총면적_diff_면적59_74,0.0
면적85_127,0.0
면적17_26,0.0
승강기설치여부,0.0
면적26_38,0.0001061943213915284
임대료,0.00016968003904815066
면적59_74_sum_총면적,0.0010155884935117016
총세대수,0.0026884040306953626
면적51_59,0.005476283851124461
면적74_85_sum_총면적,0.005574856693378391
면적59_74,0.008562696903216708
준공연도,0.009873059525030588
면적46_51_sum_총면적,0.013388033875130032
임대보증금,0.022336151501186924
총면적,0.21490207301308883
임대보증금_multiply_총세대수,0.3422575464816332
