feature,mean_importance
승강기설치여부,-1.1102230246251566e-17
면적127_139,-1.1102230246251566e-17
면적26_38,-1.1102230246251566e-17
면적85_127,-1.1102230246251566e-17
면적46_51,-1.1102230246251566e-17
면적38_46,2.0456703435889346e-05
난방방식,0.0005709471293277813
면적51_59,0.0007784886663418589
건물형태,0.001222660838830414
면적17_26,0.0016382137398708418
면적59_74,0.0024591054732919114
준공연도,0.005114743912519782
임대료,0.005523291678110764
면적74_85,0.012045196335045616
임대보증금,0.021000838005423007
총세대수,0.08658685606512312
총면적,0.5977527841520937
