feature,mean_importance
면적38_46,-2.2204460492503132e-17
면적127_139,-2.2204460492503132e-17
면적26_38,-2.2204460492503132e-17
난방방식,-1.6653345369377347e-17
면적85_127,-1.1102230246251566e-17
면적51_59,-1.1102230246251566e-17
면적46_51,-1.1102230246251566e-17
승강기설치여부,-5.551115123125783e-18
건물형태,0.0005588520118332385
면적17_26,0.0011576403827969373
임대료,0.0038071747329723737
준공연도,0.0046878082927730045
면적59_74,0.008145041595559583
임대보증금,0.009394395601382843
총세대수,0.019788495249724907
면적74_85,0.07730600556189725
총면적,0.9757583372084602
