feature,shap_importance
임대보증금_multiply_총세대수,0.3589003241454591
총면적,0.28277482020581174
임대보증금,0.09444764582003047
면적74_85,0.08174513174959666
건물형태,0.047149476569137705
면적59_74,0.03556558254283853
준공연도,0.03468405851416371
면적46_51_sum_총면적,0.024235913814859244
임대료,0.023751358115760374
총세대수,0.019371188488435744
면적26_38,0.01903370270568264
면적46_51,0.015895878262184946
면적74_85_sum_총면적,0.013956591999413522
난방방식,0.012603098195423141
면적51_59,0.009831092318232657
총면적_sum_총세대수,0.0060205810668826935
면적38_46,0.002637876855796365
총면적_diff_면적59_74,0.0026239762811677034
면적38_46_sum_총면적,0.0014059295193724873
면적127_139,0.0
면적17_26,0.0
면적85_127_sum_총면적,0.0
총면적_diff_면적127_139,0.0
총면적_diff_면적85_127,0.0
승강기설치여부,0.0
면적59_74_sum_총면적,0.0
면적85_127,0.0
