feature,mean_importance
임대료,-0.0028215596830489633
면적26_38,-0.0010074492659072954
면적38_46,-0.0006100063513017507
준공연도,-0.00041956594793370885
면적85_127,0.0
총면적_diff_면적85_127,0.0
총면적_diff_면적127_139,0.0
승강기설치여부,0.0
면적85_127_sum_총면적,0.0
면적17_26,0.0
면적127_139,0.0
면적59_74_sum_총면적,0.0
총면적_diff_면적59_74,0.00034891565958339863
면적38_46_sum_총면적,0.0004416171899813026
면적46_51,0.0011082004159780833
면적51_59,0.0022679186917991035
총면적_sum_총세대수,0.0033020283574230536
총세대수,0.003492144487947502
면적59_74,0.005187432678131071
난방방식,0.0056970897688942475
면적74_85_sum_총면적,0.006043231962201018
면적46_51_sum_총면적,0.010499808395895788
건물형태,0.01259861227957913
임대보증금,0.01899189812273953
면적74_85,0.02638745414616416
총면적,0.31945254131579837
임대보증금_multiply_총세대수,0.334391937845269
