feature,mean_importance
면적74_85,-0.010072795593701028
총세대수,-0.0005084280239451066
면적38_46,-5.327264383327979e-05
면적127_139,0.0
면적85_127,0.0
승강기설치여부,0.0
면적85_127_sum_총면적,0.0003016827099564079
면적17_26,0.0006518029035774364
면적74_85_sum_총면적,0.0012107935072606323
면적46_51,0.0014207464020177696
면적59_74,0.001865257994547509
난방방식,0.0021025193532890453
면적26_38,0.0030708649060794515
면적51_59,0.003330222147889983
총면적,0.0034206124871811183
면적46_51_sum_총면적,0.004233623792503571
임대료,0.007732009343129597
면적38_46_sum_총면적,0.007745145617880411
총면적_diff_면적127_139,0.00791434088692331
총면적_diff_면적85_127,0.010080729445603287
총면적_sum_총세대수,0.011440959893314794
임대보증금,0.015681321490495958
총면적_diff_면적59_74,0.018094762632348504
건물형태,0.018306876378397986
준공연도,0.024299585007653068
면적59_74_sum_총면적,0.028768932168698226
임대보증금_multiply_총세대수,0.07111557671488575
