feature,mean_importance
면적26_38,-0.00038826577273207705
면적46_51,-0.00010269603738907729
면적85_127,0.0
승강기설치여부,0.0
면적127_139,0.0
면적51_59,0.000361145931419099
건물형태,0.0008632638191284736
면적17_26,0.0009082010090589066
면적59_74,0.0012535958780875156
임대료,0.001809085242131339
난방방식,0.001976681523158269
면적38_46,0.002698017083450366
면적74_85,0.0029531170558885654
총면적,0.009969453864892053
면적38_46_sum_총면적,0.018281472617334267
총세대수,0.018436251065100395
임대보증금,0.019476341043597124
총면적_diff_면적85_127,0.01964187788825724
면적85_127_sum_총면적,0.02001814871397654
총면적_diff_면적59_74,0.02353577102655477
총면적_sum_총세대수,0.027041050868571576
준공연도,0.031090899666635096
면적74_85_sum_총면적,0.04209918110649521
면적59_74_sum_총면적,0.04780931068840737
면적46_51_sum_총면적,0.04998491890057989
임대보증금_multiply_총세대수,0.05903106343756044
총면적_diff_면적127_139,0.09103116877633007
