feature,mean_importance
면적74_85,-0.005675918686380699
면적51_59,-0.0006986681071144863
면적85_127,0.0
총면적_diff_면적85_127,0.0
총면적_diff_면적127_139,0.0
면적85_127_sum_총면적,0.0
면적127_139,0.0
면적59_74_sum_총면적,0.0
면적59_74,0.0
총면적_diff_면적59_74,0.0
면적38_46,0.0
면적26_38,0.0
면적17_26,0.0
난방방식,0.0
승강기설치여부,0.0
면적46_51,2.087350744163219e-05
임대료,0.0019120867201357528
총세대수,0.004061510118491185
면적74_85_sum_총면적,0.005201585471900183
임대보증금,0.006682247815628817
준공연도,0.007139595670052823
총면적_sum_총세대수,0.00789149986980291
면적46_51_sum_총면적,0.01587492329130331
건물형태,0.023736373967771694
면적38_46_sum_총면적,0.03456070983923286
총면적,0.10805235284355756
임대보증금_multiply_총세대수,0.12260543433398377
