feature,mean_importance
총면적_diff_면적127_139,0.0
승강기설치여부,0.0
면적17_26,0.0
준공연도_diff_총면적,0.0
준공연도_ratio_총면적,0.0
면적85_127_sum_총면적,0.0
면적38_46,0.0012690890778002117
면적59_74_sum_총면적,0.0015113842217025497
면적74_85_sum_총면적,0.0017181929500216186
난방방식,0.0032026175086137866
임대료,0.003502474277190387
면적59_74,0.007025339879444837
총세대수,0.007254025153574867
준공연도,0.007356902438802127
임대보증금,0.010746120785558089
면적17_26_sum_총면적,0.012248358305488344
총면적_diff_면적51_59,0.012524208501087925
면적74_85,0.015376336492625509
임대보증금_multiply_총세대수,0.0985649526377214
임대보증금_multiply_총면적,0.10460626112720184
총면적,0.1716733593589117
