feature,mean_importance
면적127_139,-0.00017590831615642565
면적85_127,-0.0001318621812052001
면적51_59,0.00026305661395061296
승강기설치여부,0.00037620354944409296
면적17_26,0.0026729935418861096
면적59_74,0.004131473048149714
면적26_38,0.009151981479281025
임대료,0.009230347810287098
면적38_46,0.011931815793783468
건물형태,0.01985969874722062
면적46_51,0.01999281194610328
면적74_85,0.02210525265388976
임대보증금,0.026879146872343728
준공연도,0.026919240706671056
난방방식,0.04951755491024794
총세대수,0.0749840459957111
총면적,0.3877346789007467
