feature,mean_importance
면적46_51,-0.0061576440842537935
면적17_26_sum_총면적,-0.006026940894886301
면적26_38,-0.000470984927540391
면적85_127,0.0
면적59_74_sum_총면적,0.0
면적74_85_sum_총면적,0.0
면적127_139,0.0
면적85_127_sum_총면적,0.0
총면적_diff_면적127_139,0.0
면적17_26,0.0
승강기설치여부,0.0
총면적_diff_면적51_59,0.0027704579980978306
임대료,0.003303722666830017
면적51_59,0.006668291595408926
면적38_46,0.012519750900868303
건물형태,0.013416369993647348
준공연도,0.02372990305587318
임대보증금,0.02438962506114311
임대보증금_multiply_총면적,0.032005806688465165
난방방식,0.03675457269656414
준공연도_ratio_총면적,0.03800950487910828
면적59_74,0.03972523193002358
총면적,0.050447606227704125
면적74_85,0.06546522750025918
총세대수,0.07070828572501746
준공연도_diff_총면적,0.15031051385100155
임대보증금_multiply_총세대수,0.16028222816276566
