feature,mean_importance
임대보증금,-0.008804743833659406
준공연도,-0.006174548574714289
임대료,-0.004223578915374665
난방방식,-0.001341127686596677
건물형태,-0.0009347939467797995
면적46_51,-0.0002754191793735261
면적26_38,-0.00017892164191242178
승강기설치여부,3.3306690738754695e-17
면적127_139,3.3306690738754695e-17
면적85_127,4.4408920985006264e-17
면적17_26,1.0431963823553936e-05
면적38_46,0.00017966945953183932
면적51_59,0.0006835112872197069
면적59_74,0.018529972911325167
면적74_85,0.02743766956673137
총세대수,0.05830104087497471
총면적,0.849291110395329
