feature,mean_importance
면적46_51,-0.006126105314052976
면적38_46,-0.006070840072785822
면적26_38,-0.0017900534611248297
면적85_127,0.0
면적17_26,0.0
면적127_139,0.0
승강기설치여부,0.0002052677143164705
면적51_59,0.0008522930041911181
임대료,0.0020285928529915286
면적74_85_sum_총면적,0.0038306466244479196
면적59_74,0.008324206834153414
면적59_74_sum_총면적,0.011194435996676166
준공연도,0.011570857749928632
건물형태,0.011599563754545118
면적85_127_sum_총면적,0.015454681871360764
준공연도_ratio_총면적,0.018186539579217075
총세대수,0.02118538105599018
임대보증금_multiply_총면적,0.02187541866756517
총면적,0.02215767482277157
총면적_diff_면적51_59,0.02503824989462571
임대보증금,0.032368476170292135
임대보증금_multiply_총세대수,0.03253557348693457
면적17_26_sum_총면적,0.034972445638917125
난방방식,0.03665222728542378
준공연도_diff_총면적,0.037051004223335696
총면적_diff_면적127_139,0.049007244220055445
면적74_85,0.0630778807508298
