feature,mean_importance
준공연도,-0.007714287597552627
임대료,-0.006939755867791187
random_feature,-0.006792123654601689
건물형태,-0.004996023561887453
면적26_38,-0.0031650507516765127
면적46_51,-0.0008669501762975096
면적127_139,0.0
면적85_127,0.0
승강기설치여부,0.00025826269143004456
면적17_26,0.0014569512497315195
난방방식,0.003971067485598856
임대보증금,0.004301349777813768
면적38_46,0.0075052238254124885
면적51_59,0.010160584043393973
면적74_85,0.013211780583377797
면적59_74,0.023268846407649778
총세대수,0.11109569724552167
총면적,0.5408717366844625
