feature,mean_importance
준공연도,-0.011801076679091915
면적17_26,-0.001854298146024147
임대료,-0.0009323532728117978
건물형태,-0.0008479976121175625
난방방식,-0.00037202643945223325
면적46_51,-4.4408920985006264e-17
면적26_38,-4.4408920985006264e-17
면적38_46,-4.4408920985006264e-17
면적51_59,-3.3306690738754695e-17
면적85_127,-3.3306690738754695e-17
면적127_139,-2.2204460492503132e-17
승강기설치여부,-1.1102230246251566e-17
임대보증금,0.006612019507343636
면적59_74,0.016086448376135886
면적74_85,0.016319407994004397
총세대수,0.024751543387859343
총면적,1.0994591729946717
